"Car_name","Make","Car_name_link","Battery","Efficiency","Fast_charge","Price","Range","Top_speed","Acceleration","Price_lambda"
"Porsche Taycan 4S Cross Turismo","Porsche","https://ev-database.org/car/1930/Porsche-Taycan-4S-Cross-Turismo",83.7,190,1080,119914,440,240,4.1,1.41392312327723
"VinFast VF 8 Plus Extended Range","VinFast","https://ev-database.org/car/1809/VinFast-VF-8-Plus-Extended-Range",87.7,206,550,58890,425,200,5.5,1.41368622627771
"Porsche Taycan Sport Turismo","Porsche","https://ev-database.org/car/1621/Porsche-Taycan-Sport-Turismo",71,187,930,94091,380,230,5.4,1.41385529968622
"Mercedes EQV 250 Long","Mercedes","https://ev-database.org/car/1542/Mercedes-EQV-250-Long",60,286,200,68056,210,160,12,1.41374451292736
"Mercedes EQV 300 Extra-Long","Mercedes","https://ev-database.org/car/1315/Mercedes-EQV-300-Extra-Long",90,290,310,72519,310,160,12.1,1.41376828136209
"Mercedes eVito Tourer Long 60 kWh","Mercedes","https://ev-database.org/car/1617/Mercedes-eVito-Tourer-Long-60-kWh",60,286,310,60678,210,160,12,1.41369877137517
"Abarth 500e Convertible","Abarth","https://ev-database.org/car/1904/Abarth-500e-Convertible",37.8,168,370,40990,225,155,7,1.41351116739052
"Genesis GV60 Sport Plus","Genesis","https://ev-database.org/car/1649/Genesis-GV60-Sport-Plus",74,203,950,73100,365,235,4,1.41377119263331
"Citroen e-SpaceTourer M 75 kWh","Citroen","https://ev-database.org/car/1343/Citroen-e-SpaceTourer-M-75-kWh",68,257,290,59640,265,130,13.3,1.41369156663736
"NIO EL7 75 kWh","NIO","https://ev-database.org/car/1788/NIO-EL7-75-kWh",70.5,207,460,85900,340,200,3.9,1.41382666943558
"Peugeot e-Traveller Standard 75 kWh","Peugeot","https://ev-database.org/car/1353/Peugeot-e-Traveller-Standard-75-kWh",68,257,290,59640,265,130,14.3,1.41369156663736
"Peugeot e-Traveller Standard 50 kWh","Peugeot","https://ev-database.org/car/1351/Peugeot-e-Traveller-Standard-50-kWh",46.3,250,290,53640,185,130,13.1,1.41364531006365
"Porsche Taycan GTS Sport Turismo","Porsche","https://ev-database.org/car/1561/Porsche-Taycan-GTS-Sport-Turismo",83.7,197,1050,140858,425,250,3.7,1.41396213212824
"Porsche Taycan Turbo Cross Turismo","Porsche","https://ev-database.org/car/1931/Porsche-Taycan-Turbo-Cross-Turismo",83.7,197,1050,165848,425,250,3.3,1.41399742205045
"Peugeot e-Expert Combi Long 75 kWh","Peugeot","https://ev-database.org/car/1608/Peugeot-e-Expert-Combi-Long-75-kWh",68,262,280,58730,260,130,14.3,1.41368507194712
"Fiat E-Ulysse L3 75 kWh","Fiat","https://ev-database.org/car/1724/Fiat-E-Ulysse-L3-75-kWh",68,262,280,62990,260,130,13.3,1.41371408721839
"Citroen e-SpaceTourer XL 50 kWh","Citroen","https://ev-database.org/car/1342/Citroen-e-SpaceTourer-XL-50-kWh",46.3,257,290,54430,180,130,12.1,1.41365189624738
"Porsche Taycan Turbo S Cross Turismo","Porsche","https://ev-database.org/car/1932/Porsche-Taycan-Turbo-S-Cross-Turismo",83.7,204,1010,199168,410,250,2.9,1.41403242650909
